Nomor,Server Mode,Operasi,Volume (MB),Client Worker Pool,Server Worker Pool,Waktu Total (s),Throughput (bytes/s),Client Sukses,Client Gagal,Server Sukses,Server Gagal
1,thread,upload,10,1,1,2.15,4875844.67,0,1,N/A,N/A
2,thread,upload,10,5,1,11.26,4665224.50,0,5,N/A,N/A
3,thread,upload,10,50,1,119.87,4383603.36,0,50,N/A,N/A
4,thread,upload,50,1,1,2.36,22250341.27,0,1,N/A,N/A
5,thread,upload,50,5,1,14.62,17932961.51,0,5,N/A,N/A
6,thread,upload,50,50,1,366.51,8843332.76,0,50,N/A,N/A
7,thread,upload,100,1,1,2.70,38828213.56,0,1,N/A,N/A
8,thread,upload,100,5,1,18.05,29288181.89,0,5,N/A,N/A
9,thread,upload,100,50,1,1562.95,3851858.72,0,50,N/A,N/A
10,thread,download,10,1,1,2.03,5163563.37,0,1,N/A,N/A
11,thread,download,10,5,1,10.20,5138517.10,0,5,N/A,N/A
12,thread,download,10,50,1,102.28,5126430.94,0,50,N/A,N/A
13,thread,download,50,1,1,2.04,25663845.18,0,1,N/A,N/A
14,thread,download,50,5,1,10.17,25784885.92,0,5,N/A,N/A
15,thread,download,50,50,1,102.33,25616576.29,0,50,N/A,N/A
16,thread,download,100,1,1,2.03,51700326.90,0,1,N/A,N/A
17,thread,download,100,5,1,10.16,51579363.96,0,5,N/A,N/A
18,thread,download,100,50,1,101.91,51444330.71,0,50,N/A,N/A
19,thread,upload,10,1,5,2.09,5005960.89,0,1,N/A,N/A
20,thread,upload,10,5,5,10.96,4785800.57,0,5,N/A,N/A
21,thread,upload,10,50,5,116.75,4498875.43,0,50,N/A,N/A
22,thread,upload,50,1,5,2.26,23161405.22,0,1,N/A,N/A
23,thread,upload,50,5,5,15.18,17271750.28,0,5,N/A,N/A
24,thread,upload,50,50,5,563.80,4726249.86,0,50,N/A,N/A
25,thread,upload,100,1,5,2.45,42838134.84,0,1,N/A,N/A
26,thread,upload,100,5,5,18.20,28844111.82,0,5,N/A,N/A
27,thread,upload,100,50,5,1994.00,2663351.95,0,50,N/A,N/A
28,thread,download,10,1,5,2.03,5168645.56,0,1,N/A,N/A
29,thread,download,10,5,5,10.19,5147576.66,0,5,N/A,N/A
30,thread,download,10,50,5,102.19,5130718.86,0,50,N/A,N/A
31,thread,download,50,1,5,2.02,25899439.58,0,1,N/A,N/A
32,thread,download,50,5,5,10.07,26042114.43,0,5,N/A,N/A
33,thread,download,50,50,5,101.53,25818791.62,0,50,N/A,N/A
34,thread,download,100,1,5,2.05,51242298.14,0,1,N/A,N/A
35,thread,download,100,5,5,10.23,51230449.80,0,5,N/A,N/A
36,thread,download,100,50,5,102.35,51227283.75,0,50,N/A,N/A
37,thread,upload,10,1,50,2.09,5022512.58,0,1,N/A,N/A
38,thread,upload,10,5,50,11.01,4763657.97,0,5,N/A,N/A
39,thread,upload,10,50,50,124.72,4224400.31,0,50,N/A,N/A
40,thread,upload,50,1,50,2.25,23263563.72,0,1,N/A,N/A
41,thread,upload,50,5,50,15.09,17375686.29,0,5,N/A,N/A
42,thread,upload,50,50,50,616.95,4387519.34,0,50,N/A,N/A
43,thread,upload,100,1,50,2.52,41570695.06,0,1,N/A,N/A
44,thread,upload,100,5,50,19.22,27351787.02,0,5,N/A,N/A
45,thread,upload,100,50,50,1629.07,3341891.38,0,50,N/A,N/A
46,thread,download,10,1,50,2.06,5096784.00,0,1,N/A,N/A
47,thread,download,10,5,50,10.17,5153782.63,0,5,N/A,N/A
48,thread,download,10,50,50,101.78,5151443.62,0,50,N/A,N/A
49,thread,download,50,1,50,2.04,25723367.07,0,1,N/A,N/A
50,thread,download,50,5,50,10.25,25570364.92,0,5,N/A,N/A
51,thread,download,50,50,50,101.91,25724302.91,0,50,N/A,N/A
52,thread,download,100,1,50,2.04,51394490.39,0,1,N/A,N/A
53,thread,download,100,5,50,10.19,51450640.15,0,5,N/A,N/A
54,thread,download,100,50,50,102.31,51246746.21,0,50,N/A,N/A
55,process,upload,10,1,1,2.09,5012525.50,0,1,N/A,N/A
56,process,upload,10,5,1,10.39,5045365.04,0,5,N/A,N/A
57,process,upload,10,50,1,106.12,4941188.76,0,50,N/A,N/A
